"ID","used_out","used_in","month","year"
"PR19M0006",8,13,11,2019
"PR19F0014",30,1,11,2019
"PR19M0007",25,103,11,2019
"PR19F0016",39,90,11,2019
"PR19F0018",81,48,11,2019
"PR19F0032",6,125,11,2019
"PR18F0003",0,21,11,2019
"PR18M0013",0,88,11,2019
"PR18F0010",0,88,11,2019
"PR18M0015",7,37,11,2019
"PR18F0019",61,27,11,2019
"PR18F0012",1,109,11,2019
"PR17U0001",25,319,11,2019
"PR18F0034",0,110,11,2019
"PR17F0006",0,313,11,2019
"PR18M0010",107,240,11,2019
"PR17F0005",28,241,11,2019
"PR17M0030",113,234,11,2019
"PR17F0003",84,264,11,2019
"PR17F0002",206,140,11,2019
"PR17F0012",173,175,11,2019
"PR17F0010",147,201,11,2019
"PR17F0004",47,286,11,2019
"PR17M0012",0,341,11,2019
"PR17F0015",3,346,11,2019
"PR17M0014",80,267,11,2019
"PR17F0009",132,217,11,2019
"PR17F0011",22,320,11,2019
"PR17F0014",0,258,11,2019
"PR17F0024",162,185,11,2019
"PR17M0003",141,207,11,2019
"PR17F0037",138,202,11,2019
"PR17U0004",17,320,11,2019
"PR17F0020",10,337,11,2019
"PR17F0027",22,313,11,2019
"PR17M0011",35,311,11,2019
"PR17F0018",38,310,11,2019
"PR17F0008",51,298,11,2019
"PR17F0017",0,348,11,2019
"PR17F0026",31,318,11,2019
"PR17F0023",10,328,11,2019
"PR17M0017",66,283,11,2019
"PR17U0007",98,250,11,2019
"PR17F0034",68,276,11,2019
"PR17M0028",78,270,11,2019
"PR17M0024",34,314,11,2019
"PR17F0035",24,324,11,2019
"PR17M0032",44,304,11,2019
"PR17F0032",140,208,11,2019
"PR17M0023",123,219,11,2019
"PR17M0022",22,327,11,2019
"PR18M0008",0,348,11,2019
"PR18F0018",0,273,11,2019
"PR18F0013",0,145,11,2019
"PR18M0006",33,316,11,2019
"PR18F0005",9,339,11,2019
"PR18F0017",24,325,11,2019
"PR18U0002",0,175,11,2019
"PR18M0001",10,140,11,2019
"PR18F0014",0,348,11,2019
"PR18U0001",0,97,11,2019
"PR18F0007",0,124,11,2019
"PR18F0006",41,228,11,2019
"PR18M0003",0,192,11,2019
"PR18F0002",0,349,11,2019
"PR18F0020",70,279,11,2019
"PR18F0023",46,303,11,2019
"PR18M0012",102,246,11,2019
"PR18F0021",17,331,11,2019
"PR18F0030",0,348,11,2019
"PR18F0027",19,330,11,2019
"PR18F0022",15,333,11,2019
"PR18M0011",46,263,11,2019
"PR18F0029",0,331,11,2019
"PR18F0031",0,90,11,2019
"PR18F0025",214,135,11,2019
"PR19M0001",7,341,11,2019
"PR19F0033",93,250,11,2019
"PR19F0002",52,294,11,2019
"PR19F0007",58,287,11,2019
"PR19F0006",0,60,11,2019
"PR19F0003",117,229,11,2019
"PR19F0005",8,340,11,2019
"PR18M0002",0,2,11,2019
"PR17M0005",31,319,11,2019
"PR17M0006",114,236,11,2019
"PR18F0010",0,22,2,2020
"PR19F0012",0,133,2,2020
"PR19F0006",0,43,2,2020
"PR18M0013",22,88,2,2020
"PR18M0015",22,22,2,2020
"PR18U0001",24,76,2,2020
"PR18F0034",0,21,2,2020
"PR18F0007",7,81,2,2020
"PR18F0019",0,102,2,2020
"PR19M0012",10,156,2,2020
"PR18F0012",0,67,2,2020
"PR18M0001",0,154,2,2020
"PR18F0006",0,44,2,2020
"PR18F0029",0,23,2,2020
"PR18U0002",38,138,2,2020
"PR18F0018",0,186,2,2020
"PR17F0035",0,336,2,2020
"PR17F0003",0,335,2,2020
"PR17F0002",0,335,2,2020
"PR17F0012",3,333,2,2020
"PR17F0004",0,319,2,2020
"PR17M0012",0,336,2,2020
"PR17F0015",0,330,2,2020
"PR17M0014",0,336,2,2020
"PR17F0009",0,323,2,2020
"PR17F0011",0,334,2,2020
"PR17F0024",0,312,2,2020
"PR17M0003",0,333,2,2020
"PR17F0037",0,320,2,2020
"PR17U0004",0,334,2,2020
"PR17F0020",0,335,2,2020
"PR17M0011",0,336,2,2020
"PR17F0018",0,336,2,2020
"PR17U0001",0,335,2,2020
"PR17F0008",0,332,2,2020
"PR17F0017",0,333,2,2020
"PR17F0026",0,336,2,2020
"PR17M0017",0,336,2,2020
"PR17U0007",0,322,2,2020
"PR17F0034",0,335,2,2020
"PR17M0028",3,331,2,2020
"PR17M0024",0,330,2,2020
"PR17M0030",1,323,2,2020
"PR17M0032",0,333,2,2020
"PR17F0032",1,324,2,2020
"PR17M0023",0,312,2,2020
"PR17M0022",0,335,2,2020
"PR18M0008",0,333,2,2020
"PR18M0006",14,322,2,2020
"PR18F0005",6,330,2,2020
"PR18F0017",0,313,2,2020
"PR18F0014",42,294,2,2020
"PR18M0003",0,89,2,2020
"PR18F0002",0,336,2,2020
"PR18F0020",2,295,2,2020
"PR18F0023",1,333,2,2020
"PR18M0012",55,279,2,2020
"PR18F0021",0,132,2,2020
"PR18F0030",208,128,2,2020
"PR18F0027",67,256,2,2020
"PR18M0010",116,219,2,2020
"PR18F0022",11,325,2,2020
"PR18M0011",49,227,2,2020
"PR18F0025",108,193,2,2020
"PR19M0001",0,335,2,2020
"PR19F0033",61,274,2,2020
"PR19F0002",28,307,2,2020
"PR19F0007",94,240,2,2020
"PR19F0003",72,263,2,2020
"PR19F0005",31,101,2,2020
"PR19F0032",165,171,2,2020
"PR19M0007",56,279,2,2020
"PR19F0016",1,333,2,2020
"PR19F0018",1,333,2,2020
"PR19F0013",0,335,2,2020
"PR19M0004",119,206,2,2020
"PR19F0020",46,289,2,2020
"PR19M0005",0,336,2,2020
"PR19F0022",70,266,2,2020
"PR19F0026",98,237,2,2020
"PR19M0008",1,334,2,2020
"PR19F0023",8,327,2,2020
"PR19F0021",40,250,2,2020
"PR19F0008",14,321,2,2020
"PR19F0028",6,327,2,2020
"PR19F0009",94,241,2,2020
"PR19F0027",102,234,2,2020
"PR19F0025",70,261,2,2020
"PR19F0011",0,318,2,2020
"PR19F0029",0,336,2,2020
"PR19F0031",147,170,2,2020
"PR19M0013",159,177,2,2020
"PR20F0022",0,335,2,2020
"PR20F0025",0,336,2,2020
"PR20F0043",113,222,2,2020
"PR20M0010",36,299,2,2020
"PR20F0034",37,288,2,2020
"PR20F0044",112,223,2,2020
"PR20M0009",0,335,2,2020
"PR20F0035",0,336,2,2020
"PR20F0045",33,302,2,2020
"PR20F0036",0,335,2,2020
"PR20F0049",0,336,2,2020
"PR20F0038",0,336,2,2020
"PR20F0037",52,283,2,2020
"PR20F0039",0,336,2,2020
"PR20F0041",111,222,2,2020
"PR20U0003",0,336,2,2020
"PR20F0026",0,336,2,2020
"PR20F0027",0,108,2,2020
"PR20F0033",0,334,2,2020
"PR20F0031",0,334,2,2020
"PR20F0023",0,336,2,2020
"PR20F0028",0,309,2,2020
"PR20F0020",0,336,2,2020
"PR20F0030",0,336,2,2020
"PR20F0024",0,335,2,2020
"PR20F0021",0,324,2,2020
"PR20M0006",66,270,2,2020
"PR20F0015",0,335,2,2020
"PR20F0018",0,336,2,2020
"PR20M0001",0,334,2,2020
"PR20F0017",68,268,2,2020
"PR20F0016",1,333,2,2020
"PR20M0007",0,336,2,2020
"PR20F0009",108,228,2,2020
"PR20F0004",119,216,2,2020
"PR20M0005",100,236,2,2020
"PR20F0006",115,221,2,2020
"PR20M0002",168,167,2,2020
"PR20M0004",92,244,2,2020
"PR20F0007",61,274,2,2020
"PR20F0008",47,289,2,2020
"PR20F0005",62,274,2,2020
"PR20F0003",0,106,2,2020
